shop_id,category,effective_date,unit_price_gbp
6,Sandwiches,2025-05-07,6.12
6,Sandwiches,2025-11-01,6.36
6,Snacks,2024-01-01,2.18
6,Snacks,2025-06-23,2.26
6,Snacks,2025-08-24,2.37
7,Bakery,2024-01-01,2.88
7,Bakery,2024-09-20,2.96
7,Bakery,2025-11-14,3.13
7,Coffee,2024-01-01,4.2
7,Coffee,2024-11-29,4.36
7,Coffee,2025-12-17,4.51
7,Cold Drinks,2024-01-01,3.36
7,Cold Drinks,2024-08-09,3.43
7,Cold Drinks,2025-06-08,3.62
7,Sandwiches,2024-01-01,6.24
7,Sandwiches,2024-11-25,6.6
7,Sandwiches,2025-07-26,6.9
7,Snacks,2024-01-01,2.28
7,Snacks,2024-06-17,2.36
7,Snacks,2025-12-01,2.48
8,Bakery,2024-01-01,2.16
8,Bakery,2024-07-07,2.22
8,Bakery,2025-08-28,2.32
8,Coffee,2024-01-01,3.15
8,Coffee,2025-08-26,3.36
8,Coffee,2025-09-04,3.53
8,Cold Drinks,2024-01-01,2.52
8,Cold Drinks,2024-03-20,2.58
8,Cold Drinks,2025-07-14,2.68
8,Sandwiches,2024-01-01,4.68
8,Sandwiches,2024-11-01,4.79
8,Sandwiches,2025-01-09,5.1
8,Snacks,2024-01-01,1.71
8,Snacks,2024-05-20,1.81
8,Snacks,2024-05-27,1.92
9,Bakery,2024-01-01,2.28
9,Bakery,2024-10-17,2.33
9,Bakery,2024-11-09,2.38
9,Coffee,2024-01-01,3.32
9,Coffee,2024-08-17,3.44
9,Coffee,2025-09-14,3.66
9,Cold Drinks,2024-01-01,2.66
9,Cold Drinks,2024-10-03,2.84
9,Cold Drinks,2025-05-08,3.0
9,Sandwiches,2024-01-01,4.94
9,Sandwiches,2024-09-22,5.14
9,Sandwiches,2025-01-14,5.42
9,Snacks,2024-01-01,1.8
9,Snacks,2025-03-18,1.92
9,Snacks,2025-05-23,2.0
10,Bakery,2024-01-01,2.52
10,Bakery,2025-10-06,2.63
10,Bakery,2025-10-12,2.79
10,Coffee,2024-01-01,3.68
10,Coffee,2024-10-22,3.86
10,Coffee,2025-09-19,3.94
10,Cold Drinks,2024-01-01,2.94
10,Cold Drinks,2024-04-30,3.03
10,Cold Drinks,2025-12-07,3.23
10,Sandwiches,2024-01-01,5.46
10,Sandwiches,2024-05-12,5.71
10,Sandwiches,2025-02-02,5.9
10,Snacks,2024-01-01,1.99
10,Snacks,2024-10-06,2.09
10,Snacks,2025-07-11,2.21
