week_start_date,year,week_of_year,channel,spend_gbp
2024-09-30,2024,40,TV,8117.95
2024-09-30,2024,40,Social Media,3693.36
2024-09-30,2024,40,Outdoor,3869.73
2024-09-30,2024,40,Radio,1629.07
2024-09-30,2024,40,Email,545.7
2024-10-07,2024,41,TV,7588.07
2024-10-07,2024,41,Social Media,4360.75
2024-10-07,2024,41,Outdoor,3368.91
2024-10-07,2024,41,Radio,2032.66
2024-10-07,2024,41,Email,434.34
2024-10-14,2024,42,TV,8617.21
2024-10-14,2024,42,Social Media,4319.24
2024-10-14,2024,42,Outdoor,2993.76
2024-10-14,2024,42,Radio,2019.74
2024-10-14,2024,42,Email,467.6
2024-10-21,2024,43,TV,8279.58
2024-10-21,2024,43,Social Media,3919.69
2024-10-21,2024,43,Outdoor,3911.79
2024-10-21,2024,43,Radio,2315.8
2024-10-21,2024,43,Email,482.12
2024-10-28,2024,44,TV,9268.02
2024-10-28,2024,44,Social Media,4574.37
2024-10-28,2024,44,Outdoor,4010.99
2024-10-28,2024,44,Radio,1742.67
2024-10-28,2024,44,Email,483.59
2024-11-04,2024,45,TV,11138.72
2024-11-04,2024,45,Social Media,5510.82
2024-11-04,2024,45,Outdoor,5127.89
2024-11-04,2024,45,Radio,3295.74
2024-11-04,2024,45,Email,827.04
2024-11-11,2024,46,TV,13173.32
2024-11-11,2024,46,Social Media,5112.76
2024-11-11,2024,46,Outdoor,5896.17
2024-11-11,2024,46,Radio,2475.9
2024-11-11,2024,46,Email,857.62
2024-11-18,2024,47,TV,10815.37
2024-11-18,2024,47,Social Media,6066.19
2024-11-18,2024,47,Outdoor,4689.69
2024-11-18,2024,47,Radio,2771.24
2024-11-18,2024,47,Email,604.84
2024-11-25,2024,48,TV,11288.21
2024-11-25,2024,48,Social Media,4974.57
2024-11-25,2024,48,Outdoor,4657.34
2024-11-25,2024,48,Radio,3363.85
2024-11-25,2024,48,Email,822.26
2024-12-02,2024,49,TV,11306.54
2024-12-02,2024,49,Social Media,5507.28
2024-12-02,2024,49,Outdoor,5765.34
2024-12-02,2024,49,Radio,2763.32
2024-12-02,2024,49,Email,845.39
2024-12-09,2024,50,TV,12216.4
2024-12-09,2024,50,Social Media,6967.86
2024-12-09,2024,50,Outdoor,4687.37
2024-12-09,2024,50,Radio,3388.49
2024-12-09,2024,50,Email,724.53
2024-12-16,2024,51,TV,11701.35
2024-12-16,2024,51,Social Media,5498.87
2024-12-16,2024,51,Outdoor,4358.61
2024-12-16,2024,51,Radio,2913.2
2024-12-16,2024,51,Email,626.9
2024-12-23,2024,52,TV,10030.56
2024-12-23,2024,52,Social Media,6737.43
2024-12-23,2024,52,Outdoor,4669.57
2024-12-23,2024,52,Radio,2813.52
2024-12-23,2024,52,Email,768.95
2024-12-30,2024,1,TV,9618.39
2024-12-30,2024,1,Social Media,7052.27
2024-12-30,2024,1,Outdoor,4437.81
2024-12-30,2024,1,Radio,3434.21
2024-12-30,2024,1,Email,898.37
2025-01-06,2025,2,TV,4645.93
2025-01-06,2025,2,Social Media,2696.84
2025-01-06,2025,2,Outdoor,2506.72
2025-01-06,2025,2,Radio,3727.95
2025-01-06,2025,2,Email,342.94
2025-01-13,2025,3,TV,5761.99
2025-01-13,2025,3,Social Media,2561.27
2025-01-13,2025,3,Outdoor,2116.55
2025-01-13,2025,3,Radio,1279.7
2025-01-13,2025,3,Email,406.81
2025-01-20,2025,4,TV,5000.33
2025-01-20,2025,4,Social Media,2607.65
2025-01-20,2025,4,Outdoor,2812.62
2025-01-20,2025,4,Radio,1212.25
2025-01-20,2025,4,Email,320.22
2025-01-27,2025,5,TV,5495.65
2025-01-27,2025,5,Social Media,2301.31
2025-01-27,2025,5,Outdoor,2432.26
2025-01-27,2025,5,Radio,1296.92
2025-01-27,2025,5,Email,402.46
2025-02-03,2025,6,TV,8976.3
2025-02-03,2025,6,Social Media,4080.87
2025-02-03,2025,6,Outdoor,3224.91
2025-02-03,2025,6,Radio,1853.53
2025-02-03,2025,6,Email,457.12
2025-02-10,2025,7,TV,7401.1
2025-02-10,2025,7,Social Media,4042.91
2025-02-10,2025,7,Outdoor,2954.76
2025-02-10,2025,7,Radio,1971.48
2025-02-10,2025,7,Email,559.94
2025-02-17,2025,8,TV,7764.22
2025-02-17,2025,8,Social Media,3706.35
2025-02-17,2025,8,Outdoor,9882.06
2025-02-17,2025,8,Radio,2236.44
2025-02-17,2025,8,Email,426.18
2025-02-24,2025,9,TV,9384.01
2025-02-24,2025,9,Social Media,4335.66
2025-02-24,2025,9,Outdoor,3528.45
2025-02-24,2025,9,Radio,2372.62
2025-02-24,2025,9,Email,562.22
2025-03-03,2025,10,TV,7083.32
2025-03-03,2025,10,Social Media,3848.0
2025-03-03,2025,10,Outdoor,2924.61
2025-03-03,2025,10,Radio,2334.82
2025-03-03,2025,10,Email,431.31
2025-03-10,2025,11,TV,8381.19
2025-03-10,2025,11,Social Media,4748.84
2025-03-10,2025,11,Outdoor,3033.73
2025-03-10,2025,11,Radio,1668.33
2025-03-10,2025,11,Email,438.72
2025-03-17,2025,12,TV,7836.32
2025-03-17,2025,12,Social Media,3314.78
2025-03-17,2025,12,Outdoor,4104.09
2025-03-17,2025,12,Radio,6906.37
2025-03-17,2025,12,Email,465.4
2025-03-24,2025,13,TV,7280.61
2025-03-24,2025,13,Social Media,4214.22
2025-03-24,2025,13,Outdoor,4072.61
2025-03-24,2025,13,Radio,1662.17
2025-03-24,2025,13,Email,460.67
2025-03-31,2025,14,TV,6974.88
2025-03-31,2025,14,Social Media,4732.77
2025-03-31,2025,14,Outdoor,2916.08
2025-03-31,2025,14,Radio,1872.18
2025-03-31,2025,14,Email,486.94
2025-04-07,2025,15,TV,7011.54
2025-04-07,2025,15,Social Media,3624.94
2025-04-07,2025,15,Outdoor,3088.24
2025-04-07,2025,15,Radio,1972.39
2025-04-07,2025,15,Email,586.35
2025-04-14,2025,16,TV,7546.3
2025-04-14,2025,16,Social Media,4015.98
2025-04-14,2025,16,Outdoor,4061.06
2025-04-14,2025,16,Radio,1906.85
2025-04-14,2025,16,Email,579.25
2025-04-21,2025,17,TV,6411.7
2025-04-21,2025,17,Social Media,3874.84
2025-04-21,2025,17,Outdoor,9202.1
2025-04-21,2025,17,Radio,2114.7
2025-04-21,2025,17,Email,410.47
2025-04-28,2025,18,TV,8966.12
2025-04-28,2025,18,Social Media,3972.91
2025-04-28,2025,18,Outdoor,4169.0
2025-04-28,2025,18,Radio,1772.29
2025-04-28,2025,18,Email,434.55
2025-05-05,2025,19,TV,9314.67
2025-05-05,2025,19,Social Media,3859.11
2025-05-05,2025,19,Outdoor,2867.85
2025-05-05,2025,19,Radio,2052.71
2025-05-05,2025,19,Email,407.91
2025-05-12,2025,20,TV,8477.29
2025-05-12,2025,20,Social Media,4221.02
2025-05-12,2025,20,Outdoor,2930.93
2025-05-12,2025,20,Radio,1703.0
2025-05-12,2025,20,Email,495.03
2025-05-19,2025,21,TV,8852.17
2025-05-19,2025,21,Social Media,3696.05
2025-05-19,2025,21,Outdoor,4014.01
2025-05-19,2025,21,Radio,1637.57
2025-05-19,2025,21,Email,552.66
2025-05-26,2025,22,TV,7131.75
2025-05-26,2025,22,Social Media,3232.19
2025-05-26,2025,22,Outdoor,3463.28
2025-05-26,2025,22,Radio,1605.68
2025-05-26,2025,22,Email,471.96
2025-06-02,2025,23,TV,10280.83
2025-06-02,2025,23,Social Media,5675.48
2025-06-02,2025,23,Outdoor,4031.53
2025-06-02,2025,23,Radio,2536.43
2025-06-02,2025,23,Email,510.35
2025-06-09,2025,24,TV,9070.78
2025-06-09,2025,24,Social Media,4743.97
2025-06-09,2025,24,Outdoor,4370.83
2025-06-09,2025,24,Radio,2316.81
2025-06-09,2025,24,Email,584.65
2025-06-16,2025,25,TV,10859.23
2025-06-16,2025,25,Social Media,3914.52
2025-06-16,2025,25,Outdoor,4261.5
2025-06-16,2025,25,Radio,2721.56
2025-06-16,2025,25,Email,552.77
2025-06-23,2025,26,TV,9487.51
2025-06-23,2025,26,Social Media,3899.65
2025-06-23,2025,26,Outdoor,3764.4
2025-06-23,2025,26,Radio,2000.04
2025-06-23,2025,26,Email,619.14
2025-06-30,2025,27,TV,11180.46
2025-06-30,2025,27,Social Media,12209.16
2025-06-30,2025,27,Outdoor,3673.78
2025-06-30,2025,27,Radio,2656.1
2025-06-30,2025,27,Email,570.43
2025-07-07,2025,28,TV,7680.93
2025-07-07,2025,28,Social Media,4239.81
2025-07-07,2025,28,Outdoor,4713.92
2025-07-07,2025,28,Radio,2103.86
2025-07-07,2025,28,Email,687.75
2025-07-14,2025,29,TV,7981.58
2025-07-14,2025,29,Social Media,5275.49
2025-07-14,2025,29,Outdoor,4732.21
2025-07-14,2025,29,Radio,2680.96
2025-07-14,2025,29,Email,1792.68
2025-07-21,2025,30,TV,11459.8
2025-07-21,2025,30,Social Media,4132.28
2025-07-21,2025,30,Outdoor,3837.6
2025-07-21,2025,30,Radio,2483.3
2025-07-21,2025,30,Email,680.67
2025-07-28,2025,31,TV,9402.75
2025-07-28,2025,31,Social Media,5114.16
2025-07-28,2025,31,Outdoor,4023.28
2025-07-28,2025,31,Radio,2064.59
2025-07-28,2025,31,Email,571.93
2025-08-04,2025,32,TV,7758.11
2025-08-04,2025,32,Social Media,4775.2
2025-08-04,2025,32,Outdoor,4245.79
2025-08-04,2025,32,Radio,2384.45
2025-08-04,2025,32,Email,508.74
2025-08-11,2025,33,TV,8628.35
2025-08-11,2025,33,Social Media,5588.78
2025-08-11,2025,33,Outdoor,4233.99
2025-08-11,2025,33,Radio,2667.38
2025-08-11,2025,33,Email,1828.3
2025-08-18,2025,34,TV,9590.65
2025-08-18,2025,34,Social Media,4191.21
2025-08-18,2025,34,Outdoor,4086.49
2025-08-18,2025,34,Radio,1991.45
2025-08-18,2025,34,Email,523.83
2025-08-25,2025,35,TV,10127.63
2025-08-25,2025,35,Social Media,5257.53
2025-08-25,2025,35,Outdoor,4645.38
2025-08-25,2025,35,Radio,2384.82
2025-08-25,2025,35,Email,484.41
2025-09-01,2025,36,TV,8379.47
2025-09-01,2025,36,Social Media,3337.27
2025-09-01,2025,36,Outdoor,4092.51
2025-09-01,2025,36,Radio,1701.68
2025-09-01,2025,36,Email,518.5
2025-09-08,2025,37,TV,6539.71
2025-09-08,2025,37,Social Media,9894.87
2025-09-08,2025,37,Outdoor,3081.96
2025-09-08,2025,37,Radio,2090.72
2025-09-08,2025,37,Email,1417.13
2025-09-15,2025,38,TV,7183.18
2025-09-15,2025,38,Social Media,3865.46
2025-09-15,2025,38,Outdoor,4085.6
2025-09-15,2025,38,Radio,1753.02
2025-09-15,2025,38,Email,581.62
2025-09-22,2025,39,TV,6610.66
2025-09-22,2025,39,Social Media,4115.04
2025-09-22,2025,39,Outdoor,2971.47
2025-09-22,2025,39,Radio,2303.57
2025-09-22,2025,39,Email,496.4
2025-09-29,2025,40,TV,7290.06
2025-09-29,2025,40,Social Media,4712.2
2025-09-29,2025,40,Outdoor,3445.22
2025-09-29,2025,40,Radio,1729.75
2025-09-29,2025,40,Email,547.71
2025-10-06,2025,41,TV,8404.03
2025-10-06,2025,41,Social Media,3402.05
2025-10-06,2025,41,Outdoor,2985.6
2025-10-06,2025,41,Radio,1811.85
2025-10-06,2025,41,Email,543.99
2025-10-13,2025,42,TV,7100.99
2025-10-13,2025,42,Social Media,4188.5
2025-10-13,2025,42,Outdoor,2945.54
2025-10-13,2025,42,Radio,2312.18
2025-10-13,2025,42,Email,564.55
2025-10-20,2025,43,TV,7877.78
2025-10-20,2025,43,Social Media,4129.55
2025-10-20,2025,43,Outdoor,3375.31
2025-10-20,2025,43,Radio,2159.45
2025-10-20,2025,43,Email,410.39
2025-10-27,2025,44,TV,7866.41
2025-10-27,2025,44,Social Media,3586.82
2025-10-27,2025,44,Outdoor,4041.56
2025-10-27,2025,44,Radio,2199.78
2025-10-27,2025,44,Email,495.21
2025-11-03,2025,45,TV,13298.1
2025-11-03,2025,45,Social Media,6003.46
2025-11-03,2025,45,Outdoor,5060.08
2025-11-03,2025,45,Radio,3325.47
2025-11-03,2025,45,Email,876.67
2025-11-10,2025,46,TV,11423.64
2025-11-10,2025,46,Social Media,6252.17
2025-11-10,2025,46,Outdoor,5221.45
2025-11-10,2025,46,Radio,2611.69
2025-11-10,2025,46,Email,762.53
2025-11-17,2025,47,TV,13277.55
2025-11-17,2025,47,Social Media,7073.54
2025-11-17,2025,47,Outdoor,4484.59
2025-11-17,2025,47,Radio,2535.13
2025-11-17,2025,47,Email,655.07
2025-11-24,2025,48,TV,11551.86
2025-11-24,2025,48,Social Media,6707.19
2025-11-24,2025,48,Outdoor,4558.61
2025-11-24,2025,48,Radio,3010.94
2025-11-24,2025,48,Email,783.5
2025-12-01,2025,49,TV,13030.57
2025-12-01,2025,49,Social Media,6989.41
2025-12-01,2025,49,Outdoor,4713.9
2025-12-01,2025,49,Radio,2762.73
2025-12-01,2025,49,Email,891.62
2025-12-08,2025,50,TV,10128.09
2025-12-08,2025,50,Social Media,13681.13
2025-12-08,2025,50,Outdoor,12646.28
2025-12-08,2025,50,Radio,3052.65
2025-12-08,2025,50,Email,742.03
2025-12-15,2025,51,TV,13770.25
2025-12-15,2025,51,Social Media,5841.72
2025-12-15,2025,51,Outdoor,6101.72
2025-12-15,2025,51,Radio,3038.32
2025-12-15,2025,51,Email,614.12
2025-12-22,2025,52,TV,13741.3
2025-12-22,2025,52,Social Media,6749.79
2025-12-22,2025,52,Outdoor,6120.11
2025-12-22,2025,52,Radio,3484.74
2025-12-22,2025,52,Email,765.7
2025-12-29,2025,1,TV,9810.63
2025-12-29,2025,1,Social Media,5866.75
2025-12-29,2025,1,Outdoor,4599.87
2025-12-29,2025,1,Radio,2400.48
2025-12-29,2025,1,Email,623.77
