date,shop_id,category,units_sold,unit_price_gbp,revenue_gbp,in_promotion,promotion_discount_pct
2024-01-02,9,Sandwiches,68,4.94,335.92,False,0
2024-01-02,9,Snacks,94,1.53,143.82,True,15
2024-01-02,9,Bakery,70,2.28,159.6,False,0
2024-01-02,10,Coffee,114,3.68,419.52,False,0
2024-01-02,10,Cold Drinks,27,2.94,79.38,False,0
2024-01-02,10,Sandwiches,48,5.46,262.08,False,0
2024-01-02,10,Snacks,86,1.69,145.34,True,15
2024-01-02,10,Bakery,76,2.14,162.64,True,15
2024-01-03,1,Coffee,171,3.5,598.5,False,0
2024-01-03,1,Cold Drinks,57,2.8,159.6,False,0
2024-01-03,1,Sandwiches,110,5.2,572.0,False,0
2024-01-03,1,Snacks,127,1.61,204.47,True,15
2024-01-03,1,Bakery,96,2.4,230.4,False,0
2024-01-03,2,Coffee,107,3.32,355.24,False,0
2024-01-03,2,Cold Drinks,31,2.66,82.46,False,0
2024-01-03,2,Sandwiches,53,4.94,261.82,False,0
2024-01-03,2,Snacks,106,1.53,162.18,True,15
2024-01-03,2,Bakery,58,2.28,132.24,False,0
2024-01-03,3,Coffee,197,3.85,758.45,False,0
2024-01-03,3,Cold Drinks,68,3.08,209.44,False,0
2024-01-03,3,Sandwiches,132,5.72,755.04,False,0
2024-01-03,3,Snacks,156,1.78,277.68,True,15
2024-01-03,3,Bakery,136,2.64,359.04,False,0
2024-01-03,4,Coffee,113,3.5,395.5,False,0
2024-01-03,4,Cold Drinks,43,2.8,120.4,False,0
2024-01-03,4,Sandwiches,67,5.2,348.4,False,0
2024-01-03,4,Snacks,124,1.61,199.64,True,15
2024-01-03,4,Bakery,74,2.4,177.6,False,0
2024-01-03,5,Coffee,122,3.32,405.04,False,0
2024-01-03,5,Cold Drinks,47,2.66,125.02,False,0
2024-01-03,5,Sandwiches,86,4.94,424.84,False,0
2024-01-03,5,Snacks,146,1.53,223.38,True,15
2024-01-03,5,Bakery,87,2.28,198.36,False,0
2024-01-03,6,Coffee,123,4.02,494.46,False,0
2024-01-03,6,Cold Drinks,49,3.22,157.78,False,0
2024-01-03,6,Sandwiches,71,5.98,424.58,False,0
2024-01-03,6,Snacks,120,1.85,222.0,True,15
2024-01-03,6,Bakery,87,2.76,240.12,False,0
2024-01-03,7,Coffee,179,4.2,751.8,False,0
2024-01-03,7,Cold Drinks,56,3.36,188.16,False,0
2024-01-03,7,Sandwiches,96,6.24,599.04,False,0
2024-01-03,7,Snacks,162,1.94,314.28,True,15
2024-01-03,7,Bakery,106,2.88,305.28,False,0
2024-01-03,8,Coffee,46,3.15,144.9,False,0
2024-01-03,8,Cold Drinks,19,2.52,47.88,False,0
2024-01-03,8,Sandwiches,32,4.68,149.76,False,0
2024-01-03,8,Snacks,53,1.45,76.85,True,15
2024-01-03,8,Bakery,36,2.16,77.76,False,0
2024-01-03,9,Coffee,116,3.32,385.12,False,0
2024-01-03,9,Cold Drinks,43,2.66,114.38,False,0
2024-01-03,9,Sandwiches,70,4.94,345.8,False,0
2024-01-03,9,Snacks,101,1.53,154.53,True,15
2024-01-03,9,Bakery,81,2.28,184.68,False,0
2024-01-03,10,Coffee,117,3.68,430.56,False,0
2024-01-03,10,Cold Drinks,37,2.94,108.78,False,0
2024-01-03,10,Sandwiches,57,5.46,311.22,False,0
2024-01-03,10,Snacks,93,1.69,157.17,True,15
2024-01-03,10,Bakery,85,2.14,181.9,True,15
2024-01-04,1,Coffee,138,3.5,483.0,False,0
2024-01-04,1,Cold Drinks,64,2.8,179.2,False,0
2024-01-04,1,Sandwiches,96,5.2,499.2,False,0
2024-01-04,1,Snacks,134,1.61,215.74,True,15
2024-01-04,1,Bakery,97,2.4,232.8,False,0
2024-01-04,2,Coffee,108,3.32,358.56,False,0
2024-01-04,2,Cold Drinks,36,2.66,95.76,False,0
2024-01-04,2,Sandwiches,68,4.94,335.92,False,0
2024-01-04,2,Snacks,106,1.53,162.18,True,15
2024-01-04,2,Bakery,74,2.28,168.72,False,0
2024-01-04,3,Coffee,189,3.85,727.65,False,0
2024-01-04,3,Cold Drinks,62,3.08,190.96,False,0
2024-01-04,3,Sandwiches,126,5.72,720.72,False,0
2024-01-04,3,Snacks,221,1.78,393.38,True,15
2024-01-04,3,Bakery,135,2.64,356.4,False,0
2024-01-04,4,Coffee,101,3.5,353.5,False,0
2024-01-04,4,Cold Drinks,43,2.8,120.4,False,0
2024-01-04,4,Sandwiches,73,5.2,379.6,False,0
2024-01-04,4,Snacks,103,1.61,165.83,True,15
2024-01-04,4,Bakery,66,2.4,158.4,False,0
2024-01-04,5,Coffee,144,3.32,478.08,False,0
2024-01-04,5,Cold Drinks,52,2.66,138.32,False,0
2024-01-04,5,Sandwiches,104,4.94,513.76,False,0
2024-01-04,5,Snacks,139,1.53,212.67,True,15
2024-01-04,5,Bakery,103,2.28,234.84,False,0
2024-01-04,6,Coffee,130,4.02,522.6,False,0
2024-01-04,6,Cold Drinks,50,3.22,161.0,False,0
2024-01-04,6,Sandwiches,72,5.98,430.56,False,0
2024-01-04,6,Snacks,115,1.85,212.75,True,15
2024-01-04,6,Bakery,99,2.76,273.24,False,0
2024-01-04,7,Coffee,174,4.2,730.8,False,0
2024-01-04,7,Cold Drinks,63,3.36,211.68,False,0
2024-01-04,7,Sandwiches,111,6.24,692.64,False,0
2024-01-04,7,Snacks,169,1.94,327.86,True,15
2024-01-04,7,Bakery,138,2.88,397.44,False,0
2024-01-04,8,Coffee,51,3.15,160.65,False,0
2024-01-04,8,Cold Drinks,18,2.52,45.36,False,0
2024-01-04,8,Sandwiches,31,4.68,145.08,False,0
2024-01-04,8,Snacks,50,1.45,72.5,True,15
2024-01-04,8,Bakery,37,2.16,79.92,False,0
2024-01-04,9,Coffee,110,3.32,365.2,False,0
2024-01-04,9,Cold Drinks,49,2.66,130.34,False,0
2024-01-04,9,Sandwiches,72,4.94,355.68,False,0
2024-01-04,9,Snacks,113,1.53,172.89,True,15
2024-01-04,9,Bakery,92,2.28,209.76,False,0
2024-01-04,10,Coffee,112,3.68,412.16,False,0
2024-01-04,10,Cold Drinks,38,2.94,111.72,False,0
2024-01-04,10,Sandwiches,65,5.46,354.9,False,0
2024-01-04,10,Snacks,96,1.69,162.24,True,15
2024-01-04,10,Bakery,112,2.14,239.68,True,15
2024-01-05,1,Coffee,196,3.5,686.0,False,0
2024-01-05,1,Cold Drinks,54,2.8,151.2,False,0
2024-01-05,1,Sandwiches,120,5.2,624.0,False,0
2024-01-05,1,Snacks,183,1.61,294.63,True,15
2024-01-05,1,Bakery,137,2.4,328.8,False,0
2024-01-05,2,Coffee,141,3.32,468.12,False,0
2024-01-05,2,Cold Drinks,38,2.66,101.08,False,0
2024-01-05,2,Sandwiches,65,4.94,321.1,False,0
2024-01-05,2,Snacks,101,1.53,154.53,True,15
2024-01-05,2,Bakery,73,2.28,166.44,False,0
2024-01-05,3,Coffee,231,3.85,889.35,False,0
2024-01-05,3,Cold Drinks,80,3.08,246.4,False,0
2024-01-05,3,Sandwiches,134,5.72,766.48,False,0
2024-01-05,3,Snacks,221,1.78,393.38,True,15
2024-01-05,3,Bakery,157,2.64,414.48,False,0
2024-01-05,4,Coffee,131,3.5,458.5,False,0
2024-01-05,4,Cold Drinks,38,2.8,106.4,False,0
2024-01-05,4,Sandwiches,73,5.2,379.6,False,0
2024-01-05,4,Snacks,119,1.61,191.59,True,15
2024-01-05,4,Bakery,90,2.4,216.0,False,0
2024-01-05,5,Coffee,167,3.32,554.44,False,0
2024-01-05,5,Cold Drinks,56,2.66,148.96,False,0
2024-01-05,5,Sandwiches,95,4.94,469.3,False,0
2024-01-05,5,Snacks,154,1.53,235.62,True,15
2024-01-05,5,Bakery,110,2.28,250.8,False,0
2024-01-05,6,Coffee,183,4.02,735.66,False,0
2024-01-05,6,Cold Drinks,44,3.22,141.68,False,0
2024-01-05,6,Sandwiches,107,5.98,639.86,False,0
2024-01-05,6,Snacks,130,1.85,240.5,True,15
2024-01-05,6,Bakery,89,2.76,245.64,False,0
2024-01-05,7,Coffee,204,4.2,856.8,False,0
2024-01-05,7,Cold Drinks,81,3.36,272.16,False,0
2024-01-05,7,Sandwiches,125,6.24,780.0,False,0
2024-01-05,7,Snacks,186,1.94,360.84,True,15
2024-01-05,7,Bakery,137,2.88,394.56,False,0
2024-01-05,8,Coffee,57,3.15,179.55,False,0
2024-01-05,8,Cold Drinks,19,2.52,47.88,False,0
2024-01-05,8,Sandwiches,34,4.68,159.12,False,0
2024-01-05,8,Snacks,60,1.45,87.0,True,15
2024-01-05,8,Bakery,38,2.16,82.08,False,0
2024-01-05,9,Coffee,147,3.32,488.04,False,0
2024-01-05,9,Cold Drinks,42,2.66,111.72,False,0
2024-01-05,9,Sandwiches,86,4.94,424.84,False,0
2024-01-05,9,Snacks,133,1.53,203.49,True,15
2024-01-05,9,Bakery,85,2.28,193.8,False,0
2024-01-05,10,Coffee,132,3.68,485.76,False,0
2024-01-05,10,Cold Drinks,39,2.94,114.66,False,0
2024-01-05,10,Sandwiches,78,5.46,425.88,False,0
2024-01-05,10,Snacks,121,1.69,204.49,True,15
2024-01-05,10,Bakery,98,2.14,209.72,True,15
2024-01-06,1,Coffee,155,3.5,542.5,False,0
2024-01-06,1,Cold Drinks,49,2.8,137.2,False,0
2024-01-06,1,Sandwiches,110,5.2,572.0,False,0
2024-01-06,1,Snacks,147,1.61,236.67,True,15
2024-01-06,1,Bakery,121,2.4,290.4,False,0
2024-01-06,2,Coffee,91,3.32,302.12,False,0
2024-01-06,2,Cold Drinks,29,2.66,77.14,False,0
2024-01-06,2,Sandwiches,54,4.94,266.76,False,0
2024-01-06,2,Snacks,69,1.53,105.57,True,15
2024-01-06,2,Bakery,56,2.28,127.68,False,0
2024-01-06,3,Coffee,127,3.85,488.95,False,0
2024-01-06,3,Cold Drinks,42,3.08,129.36,False,0
2024-01-06,3,Sandwiches,84,5.72,480.48,False,0
2024-01-06,3,Snacks,112,1.78,199.36,True,15
2024-01-06,3,Bakery,92,2.64,242.88,False,0
2024-01-06,4,Coffee,112,3.5,392.0,False,0
2024-01-06,4,Cold Drinks,43,2.8,120.4,False,0
2024-01-06,4,Sandwiches,68,5.2,353.6,False,0
2024-01-06,4,Snacks,100,1.61,161.0,True,15
2024-01-06,4,Bakery,71,2.4,170.4,False,0
2024-01-06,5,Coffee,123,3.32,408.36,False,0
2024-01-06,5,Cold Drinks,34,2.66,90.44,False,0
2024-01-06,5,Sandwiches,70,4.94,345.8,False,0
2024-01-06,5,Snacks,121,1.53,185.13,True,15
2024-01-06,5,Bakery,79,2.28,180.12,False,0
2024-01-06,6,Coffee,128,4.02,514.56,False,0
2024-01-06,6,Cold Drinks,44,3.22,141.68,False,0
2024-01-06,6,Sandwiches,80,5.98,478.4,False,0
2024-01-06,6,Snacks,142,1.85,262.7,True,15
2024-01-06,6,Bakery,94,2.76,259.44,False,0
2024-01-06,7,Coffee,124,4.2,520.8,False,0
2024-01-06,7,Cold Drinks,40,3.36,134.4,False,0
2024-01-06,7,Sandwiches,68,6.24,424.32,False,0
2024-01-06,7,Snacks,104,1.94,201.76,True,15
2024-01-06,7,Bakery,87,2.88,250.56,False,0
2024-01-06,8,Coffee,39,3.15,122.85,False,0
2024-01-06,8,Cold Drinks,15,2.52,37.8,False,0
2024-01-06,8,Sandwiches,25,4.68,117.0,False,0
2024-01-06,8,Snacks,38,1.45,55.1,True,15
2024-01-06,8,Bakery,27,2.16,58.32,False,0
2024-01-06,9,Coffee,135,3.32,448.2,False,0
2024-01-06,9,Cold Drinks,41,2.66,109.06,False,0
2024-01-06,9,Sandwiches,73,4.94,360.62,False,0
2024-01-06,9,Snacks,109,1.53,166.77,True,15
2024-01-06,9,Bakery,72,2.28,164.16,False,0
2024-01-06,10,Coffee,106,3.68,390.08,False,0
2024-01-06,10,Cold Drinks,33,2.94,97.02,False,0
2024-01-06,10,Sandwiches,64,5.46,349.44,False,0
2024-01-06,10,Snacks,114,1.69,192.66,True,15
2024-01-06,10,Bakery,82,2.14,175.48,True,15
2024-01-07,1,Coffee,84,3.5,294.0,False,0
2024-01-07,1,Cold Drinks,36,2.8,100.8,False,0
2024-01-07,1,Sandwiches,60,5.2,312.0,False,0
2024-01-07,1,Snacks,95,1.61,152.95,True,15
2024-01-07,1,Bakery,69,2.4,165.6,False,0
2024-01-07,2,Coffee,51,3.32,169.32,False,0
2024-01-07,2,Cold Drinks,21,2.66,55.86,False,0
2024-01-07,2,Sandwiches,30,4.94,148.2,False,0
2024-01-07,2,Snacks,56,1.53,85.68,True,15
2024-01-07,2,Bakery,33,2.28,75.24,False,0
2024-01-07,3,Coffee,77,3.85,296.45,False,0
2024-01-07,3,Cold Drinks,35,3.08,107.8,False,0
2024-01-07,3,Sandwiches,52,5.72,297.44,False,0
2024-01-07,3,Snacks,63,1.78,112.14,True,15
2024-01-07,3,Bakery,55,2.64,145.2,False,0
2024-01-07,4,Coffee,73,3.5,255.5,False,0
2024-01-07,4,Cold Drinks,26,2.8,72.8,False,0
2024-01-07,4,Sandwiches,47,5.2,244.4,False,0
2024-01-07,4,Snacks,70,1.61,112.7,True,15
2024-01-07,4,Bakery,54,2.4,129.6,False,0
2024-01-07,5,Coffee,66,3.32,219.12,False,0
2024-01-07,5,Cold Drinks,31,2.66,82.46,False,0
2024-01-07,5,Sandwiches,46,4.94,227.24,False,0
2024-01-07,5,Snacks,80,1.53,122.4,True,15
2024-01-07,5,Bakery,63,2.28,143.64,False,0
2024-01-07,6,Coffee,86,4.02,345.72,False,0
2024-01-07,6,Cold Drinks,33,3.22,106.26,False,0
2024-01-07,6,Sandwiches,59,5.98,352.82,False,0
2024-01-07,6,Snacks,79,1.85,146.15,True,15
2024-01-07,6,Bakery,51,2.76,140.76,False,0
2024-01-07,7,Coffee,66,4.2,277.2,False,0
2024-01-07,7,Cold Drinks,29,3.36,97.44,False,0
2024-01-07,7,Sandwiches,46,6.24,287.04,False,0
2024-01-07,7,Snacks,60,1.94,116.4,True,15
2024-01-07,7,Bakery,43,2.88,123.84,False,0
2024-01-07,8,Coffee,24,3.15,75.6,False,0
2024-01-07,8,Cold Drinks,11,2.52,27.72,False,0
2024-01-07,8,Sandwiches,17,4.68,79.56,False,0
2024-01-07,8,Snacks,24,1.45,34.8,True,15
2024-01-07,8,Bakery,16,2.16,34.56,False,0
2024-01-07,9,Coffee,83,3.32,275.56,False,0
2024-01-07,9,Cold Drinks,28,2.66,74.48,False,0
2024-01-07,9,Sandwiches,52,4.94,256.88,False,0
2024-01-07,9,Snacks,76,1.53,116.28,True,15
2024-01-07,9,Bakery,57,2.28,129.96,False,0
2024-01-07,10,Coffee,59,3.68,217.12,False,0
2024-01-07,10,Cold Drinks,25,2.94,73.5,False,0
2024-01-07,10,Sandwiches,40,5.46,218.4,False,0
2024-01-07,10,Snacks,58,1.69,98.02,True,15
2024-01-07,10,Bakery,54,2.14,115.56,True,15
2024-01-08,1,Coffee,172,3.5,602.0,False,0
2024-01-08,1,Cold Drinks,46,2.8,128.8,False,0
2024-01-08,1,Sandwiches,85,5.2,442.0,False,0
2024-01-08,1,Snacks,128,1.61,206.08,True,15
2024-01-08,1,Bakery,98,2.4,235.2,False,0
2024-01-08,2,Coffee,94,3.32,312.08,False,0
2024-01-08,2,Cold Drinks,34,2.66,90.44,False,0
2024-01-08,2,Sandwiches,56,4.94,276.64,False,0
2024-01-08,2,Snacks,87,1.53,133.11,True,15
2024-01-08,2,Bakery,64,2.28,145.92,False,0
2024-01-08,3,Coffee,194,3.85,746.9,False,0
2024-01-08,3,Cold Drinks,67,3.08,206.36,False,0
2024-01-08,3,Sandwiches,110,5.72,629.2,False,0
2024-01-08,3,Snacks,194,1.78,345.32,True,15
2024-01-08,3,Bakery,151,2.64,398.64,False,0
2024-01-08,4,Coffee,121,3.5,423.5,False,0
2024-01-08,4,Cold Drinks,39,2.8,109.2,False,0
2024-01-08,4,Sandwiches,70,5.2,364.0,False,0
2024-01-08,4,Snacks,93,1.61,149.73,True,15
2024-01-08,4,Bakery,75,2.4,180.0,False,0
2024-01-08,5,Coffee,132,3.32,438.24,False,0
2024-01-08,5,Cold Drinks,48,2.66,127.68,False,0
2024-01-08,5,Sandwiches,77,4.94,380.38,False,0
2024-01-08,5,Snacks,121,1.53,185.13,True,15
2024-01-08,5,Bakery,78,2.28,177.84,False,0
2024-01-08,6,Coffee,115,4.02,462.3,False,0
2024-01-08,6,Cold Drinks,43,3.22,138.46,False,0
2024-01-08,6,Sandwiches,69,5.98,412.62,False,0
2024-01-08,6,Snacks,123,1.85,227.55,True,15
2024-01-08,6,Bakery,76,2.76,209.76,False,0
2024-01-08,7,Coffee,171,4.2,718.2,False,0
2024-01-08,7,Cold Drinks,52,3.36,174.72,False,0
2024-01-08,7,Sandwiches,100,6.24,624.0,False,0
2024-01-08,7,Snacks,130,1.94,252.2,True,15
2024-01-08,7,Bakery,103,2.88,296.64,False,0
2024-01-08,8,Coffee,101,3.15,318.15,False,0
2024-01-08,8,Cold Drinks,39,2.52,98.28,False,0
2024-01-08,8,Sandwiches,65,4.68,304.2,False,0
2024-01-08,8,Snacks,87,1.45,126.15,True,15
2024-01-08,8,Bakery,69,2.16,149.04,False,0
2024-01-08,9,Coffee,113,3.32,375.16,False,0
2024-01-08,9,Cold Drinks,43,2.66,114.38,False,0
2024-01-08,9,Sandwiches,78,4.94,385.32,False,0
2024-01-08,9,Snacks,96,1.53,146.88,True,15
2024-01-08,9,Bakery,83,2.28,189.24,False,0
2024-01-08,10,Coffee,95,3.68,349.6,False,0
2024-01-08,10,Cold Drinks,33,2.94,97.02,False,0
2024-01-08,10,Sandwiches,60,5.46,327.6,False,0
2024-01-08,10,Snacks,105,1.69,177.45,True,15
2024-01-08,10,Bakery,74,2.14,158.36,True,15
2024-01-09,1,Coffee,187,3.5,654.5,False,0
2024-01-09,1,Cold Drinks,43,2.8,120.4,False,0
2024-01-09,1,Sandwiches,85,5.2,442.0,False,0
2024-01-09,1,Snacks,143,1.61,230.23,True,15
2024-01-09,1,Bakery,104,2.4,249.6,False,0
2024-01-09,2,Coffee,87,3.32,288.84,False,0
2024-01-09,2,Cold Drinks,32,2.66,85.12,False,0
2024-01-09,2,Sandwiches,49,4.94,242.06,False,0
2024-01-09,2,Snacks,88,1.53,134.64,True,15
2024-01-09,2,Bakery,72,2.28,164.16,False,0
2024-01-09,3,Coffee,261,3.85,1004.85,False,0
2024-01-09,3,Cold Drinks,57,3.08,175.56,False,0
2024-01-09,3,Sandwiches,105,5.72,600.6,False,0
2024-01-09,3,Snacks,198,1.78,352.44,True,15
2024-01-09,3,Bakery,139,2.64,366.96,False,0
2024-01-09,4,Coffee,126,3.5,441.0,False,0
2024-01-09,4,Cold Drinks,33,2.8,92.4,False,0
2024-01-09,4,Sandwiches,66,5.2,343.2,False,0
2024-01-09,4,Snacks,104,1.61,167.44,True,15
2024-01-09,4,Bakery,80,2.4,192.0,False,0
2024-01-09,5,Coffee,153,3.32,507.96,False,0
2024-01-09,5,Cold Drinks,41,2.66,109.06,False,0
2024-01-09,5,Sandwiches,91,4.94,449.54,False,0
2024-01-09,5,Snacks,117,1.53,179.01,True,15
2024-01-09,5,Bakery,92,2.28,209.76,False,0
2024-01-09,6,Coffee,127,4.02,510.54,False,0
2024-01-09,6,Cold Drinks,39,3.22,125.58,False,0
2024-01-09,6,Sandwiches,67,5.98,400.66,False,0
2024-01-09,6,Snacks,128,1.85,236.8,True,15
2024-01-09,6,Bakery,78,2.76,215.28,False,0
2024-01-09,7,Coffee,164,4.2,688.8,False,0
2024-01-09,7,Cold Drinks,49,3.36,164.64,False,0
2024-01-09,7,Sandwiches,117,6.24,730.08,False,0
2024-01-09,7,Snacks,164,1.94,318.16,True,15
2024-01-09,7,Bakery,96,2.88,276.48,False,0
2024-01-09,8,Coffee,111,3.15,349.65,False,0
2024-01-09,8,Cold Drinks,32,2.52,80.64,False,0
2024-01-09,8,Sandwiches,79,4.68,369.72,False,0
2024-01-09,8,Snacks,94,1.45,136.3,True,15
2024-01-09,8,Bakery,68,2.16,146.88,False,0
2024-01-09,9,Coffee,157,3.32,521.24,False,0
2024-01-09,9,Cold Drinks,38,2.66,101.08,False,0
2024-01-09,9,Sandwiches,81,4.94,400.14,False,0
2024-01-09,9,Snacks,107,1.53,163.71,True,15
2024-01-09,9,Bakery,81,2.28,184.68,False,0
2024-01-09,10,Coffee,129,3.68,474.72,False,0
2024-01-09,10,Cold Drinks,31,2.94,91.14,False,0
2024-01-09,10,Sandwiches,68,5.46,371.28,False,0
2024-01-09,10,Snacks,98,1.69,165.62,True,15
2024-01-09,10,Bakery,78,2.14,166.92,True,15
2024-01-10,1,Coffee,163,3.5,570.5,False,0
2024-01-10,1,Cold Drinks,59,2.8,165.2,False,0
2024-01-10,1,Sandwiches,101,5.2,525.2,False,0
2024-01-10,1,Snacks,145,1.61,233.45,True,15
2024-01-10,1,Bakery,91,2.4,218.4,False,0
2024-01-10,2,Coffee,89,3.32,295.48,False,0
2024-01-10,2,Cold Drinks,30,2.66,79.8,False,0
2024-01-10,2,Sandwiches,57,4.94,281.58,False,0
2024-01-10,2,Snacks,89,1.53,136.17,True,15
2024-01-10,2,Bakery,59,2.28,134.52,False,0
2024-01-10,3,Coffee,222,3.85,854.7,False,0
2024-01-10,3,Cold Drinks,61,3.08,187.88,False,0
2024-01-10,3,Sandwiches,107,5.72,612.04,False,0
2024-01-10,3,Snacks,183,1.78,325.74,True,15
2024-01-10,3,Bakery,143,2.64,377.52,False,0
2024-01-10,4,Coffee,145,3.5,507.5,False,0
2024-01-10,4,Cold Drinks,43,2.8,120.4,False,0
2024-01-10,4,Sandwiches,81,5.2,421.2,False,0
2024-01-10,4,Snacks,99,1.61,159.39,True,15
2024-01-10,4,Bakery,94,2.4,225.6,False,0
2024-01-10,5,Coffee,129,3.32,428.28,False,0
2024-01-10,5,Cold Drinks,48,2.66,127.68,False,0
2024-01-10,5,Sandwiches,92,4.94,454.48,False,0
2024-01-10,5,Snacks,118,1.53,180.54,True,15
2024-01-10,5,Bakery,90,2.28,205.2,False,0
2024-01-10,6,Coffee,125,4.02,502.5,False,0
2024-01-10,6,Cold Drinks,44,3.22,141.68,False,0
2024-01-10,6,Sandwiches,89,5.98,532.22,False,0
2024-01-10,6,Snacks,122,1.85,225.7,True,15
