date,day_of_week,day_num,week_of_year,month,month_name,quarter,year,season,is_weekend,is_public_holiday,holiday_name
2024-02-12,Monday,0,7,2,February,1,2024,Winter,False,False,
2024-02-13,Tuesday,1,7,2,February,1,2024,Winter,False,False,
2024-02-14,Wednesday,2,7,2,February,1,2024,Winter,False,False,
2024-02-15,Thursday,3,7,2,February,1,2024,Winter,False,False,
2024-02-16,Friday,4,7,2,February,1,2024,Winter,False,False,
2024-02-17,Saturday,5,7,2,February,1,2024,Winter,True,False,
2024-02-18,Sunday,6,7,2,February,1,2024,Winter,True,False,
2024-02-19,Monday,0,8,2,February,1,2024,Winter,False,False,
2024-02-20,Tuesday,1,8,2,February,1,2024,Winter,False,False,
2024-02-21,Wednesday,2,8,2,February,1,2024,Winter,False,False,
2024-02-22,Thursday,3,8,2,February,1,2024,Winter,False,False,
2024-02-23,Friday,4,8,2,February,1,2024,Winter,False,False,
2024-02-24,Saturday,5,8,2,February,1,2024,Winter,True,False,
2024-02-25,Sunday,6,8,2,February,1,2024,Winter,True,False,
2024-02-26,Monday,0,9,2,February,1,2024,Winter,False,False,
2024-02-27,Tuesday,1,9,2,February,1,2024,Winter,False,False,
2024-02-28,Wednesday,2,9,2,February,1,2024,Winter,False,False,
2024-02-29,Thursday,3,9,2,February,1,2024,Winter,False,False,
2024-03-01,Friday,4,9,3,March,1,2024,Spring,False,False,
2024-03-02,Saturday,5,9,3,March,1,2024,Spring,True,False,
2024-03-03,Sunday,6,9,3,March,1,2024,Spring,True,False,
2024-03-04,Monday,0,10,3,March,1,2024,Spring,False,False,
2024-03-05,Tuesday,1,10,3,March,1,2024,Spring,False,False,
2024-03-06,Wednesday,2,10,3,March,1,2024,Spring,False,False,
2024-03-07,Thursday,3,10,3,March,1,2024,Spring,False,False,
2024-03-08,Friday,4,10,3,March,1,2024,Spring,False,False,
2024-03-09,Saturday,5,10,3,March,1,2024,Spring,True,False,
2024-03-10,Sunday,6,10,3,March,1,2024,Spring,True,False,
2024-03-11,Monday,0,11,3,March,1,2024,Spring,False,False,
2024-03-12,Tuesday,1,11,3,March,1,2024,Spring,False,False,
2024-03-13,Wednesday,2,11,3,March,1,2024,Spring,False,False,
2024-03-14,Thursday,3,11,3,March,1,2024,Spring,False,False,
2024-03-15,Friday,4,11,3,March,1,2024,Spring,False,False,
2024-03-16,Saturday,5,11,3,March,1,2024,Spring,True,False,
2024-03-17,Sunday,6,11,3,March,1,2024,Spring,True,False,
2024-03-18,Monday,0,12,3,March,1,2024,Spring,False,False,
2024-03-19,Tuesday,1,12,3,March,1,2024,Spring,False,False,
2024-03-20,Wednesday,2,12,3,March,1,2024,Spring,False,False,
2024-03-21,Thursday,3,12,3,March,1,2024,Spring,False,False,
2024-03-22,Friday,4,12,3,March,1,2024,Spring,False,False,
2024-03-23,Saturday,5,12,3,March,1,2024,Spring,True,False,
2024-03-24,Sunday,6,12,3,March,1,2024,Spring,True,False,
2024-03-25,Monday,0,13,3,March,1,2024,Spring,False,False,
2024-03-26,Tuesday,1,13,3,March,1,2024,Spring,False,False,
2024-03-27,Wednesday,2,13,3,March,1,2024,Spring,False,False,
2024-03-28,Thursday,3,13,3,March,1,2024,Spring,False,False,
2024-03-29,Friday,4,13,3,March,1,2024,Spring,False,True,Good Friday
2024-03-30,Saturday,5,13,3,March,1,2024,Spring,True,False,
2024-03-31,Sunday,6,13,3,March,1,2024,Spring,True,False,
2024-04-01,Monday,0,14,4,April,2,2024,Spring,False,True,Easter Monday
2024-04-02,Tuesday,1,14,4,April,2,2024,Spring,False,False,
2024-04-03,Wednesday,2,14,4,April,2,2024,Spring,False,False,
2024-04-04,Thursday,3,14,4,April,2,2024,Spring,False,False,
2024-04-05,Friday,4,14,4,April,2,2024,Spring,False,False,
2024-04-06,Saturday,5,14,4,April,2,2024,Spring,True,False,
2024-04-07,Sunday,6,14,4,April,2,2024,Spring,True,False,
2024-04-08,Monday,0,15,4,April,2,2024,Spring,False,False,
2024-04-09,Tuesday,1,15,4,April,2,2024,Spring,False,False,
2024-04-10,Wednesday,2,15,4,April,2,2024,Spring,False,False,
2024-04-11,Thursday,3,15,4,April,2,2024,Spring,False,False,
2024-04-12,Friday,4,15,4,April,2,2024,Spring,False,False,
2024-04-13,Saturday,5,15,4,April,2,2024,Spring,True,False,
2024-04-14,Sunday,6,15,4,April,2,2024,Spring,True,False,
2024-04-15,Monday,0,16,4,April,2,2024,Spring,False,False,
2024-04-16,Tuesday,1,16,4,April,2,2024,Spring,False,False,
2024-04-17,Wednesday,2,16,4,April,2,2024,Spring,False,False,
2024-04-18,Thursday,3,16,4,April,2,2024,Spring,False,False,
2024-04-19,Friday,4,16,4,April,2,2024,Spring,False,False,
2024-04-20,Saturday,5,16,4,April,2,2024,Spring,True,False,
2024-04-21,Sunday,6,16,4,April,2,2024,Spring,True,False,
2024-04-22,Monday,0,17,4,April,2,2024,Spring,False,False,
2024-04-23,Tuesday,1,17,4,April,2,2024,Spring,False,False,
2024-04-24,Wednesday,2,17,4,April,2,2024,Spring,False,False,
2024-04-25,Thursday,3,17,4,April,2,2024,Spring,False,False,
2024-04-26,Friday,4,17,4,April,2,2024,Spring,False,False,
2024-04-27,Saturday,5,17,4,April,2,2024,Spring,True,False,
2024-04-28,Sunday,6,17,4,April,2,2024,Spring,True,False,
2024-04-29,Monday,0,18,4,April,2,2024,Spring,False,False,
2024-04-30,Tuesday,1,18,4,April,2,2024,Spring,False,False,
2024-05-01,Wednesday,2,18,5,May,2,2024,Spring,False,False,
2024-05-02,Thursday,3,18,5,May,2,2024,Spring,False,False,
2024-05-03,Friday,4,18,5,May,2,2024,Spring,False,False,
2024-05-04,Saturday,5,18,5,May,2,2024,Spring,True,False,
2024-05-05,Sunday,6,18,5,May,2,2024,Spring,True,False,
2024-05-06,Monday,0,19,5,May,2,2024,Spring,False,True,Early May Bank Holiday
2024-05-07,Tuesday,1,19,5,May,2,2024,Spring,False,False,
2024-05-08,Wednesday,2,19,5,May,2,2024,Spring,False,False,
2024-05-09,Thursday,3,19,5,May,2,2024,Spring,False,False,
2024-05-10,Friday,4,19,5,May,2,2024,Spring,False,False,
2024-05-11,Saturday,5,19,5,May,2,2024,Spring,True,False,
2024-05-12,Sunday,6,19,5,May,2,2024,Spring,True,False,
2024-05-13,Monday,0,20,5,May,2,2024,Spring,False,False,
2024-05-14,Tuesday,1,20,5,May,2,2024,Spring,False,False,
2024-05-15,Wednesday,2,20,5,May,2,2024,Spring,False,False,
2024-05-16,Thursday,3,20,5,May,2,2024,Spring,False,False,
2024-05-17,Friday,4,20,5,May,2,2024,Spring,False,False,
2024-05-18,Saturday,5,20,5,May,2,2024,Spring,True,False,
2024-05-19,Sunday,6,20,5,May,2,2024,Spring,True,False,
2024-05-20,Monday,0,21,5,May,2,2024,Spring,False,False,
2024-05-21,Tuesday,1,21,5,May,2,2024,Spring,False,False,
2024-05-22,Wednesday,2,21,5,May,2,2024,Spring,False,False,
2024-05-23,Thursday,3,21,5,May,2,2024,Spring,False,False,
2024-05-24,Friday,4,21,5,May,2,2024,Spring,False,False,
2024-05-25,Saturday,5,21,5,May,2,2024,Spring,True,False,
2024-05-26,Sunday,6,21,5,May,2,2024,Spring,True,False,
2024-05-27,Monday,0,22,5,May,2,2024,Spring,False,True,Spring Bank Holiday
2024-05-28,Tuesday,1,22,5,May,2,2024,Spring,False,False,
2024-05-29,Wednesday,2,22,5,May,2,2024,Spring,False,False,
2024-05-30,Thursday,3,22,5,May,2,2024,Spring,False,False,
2024-05-31,Friday,4,22,5,May,2,2024,Spring,False,False,
2024-06-01,Saturday,5,22,6,June,2,2024,Summer,True,False,
2024-06-02,Sunday,6,22,6,June,2,2024,Summer,True,False,
2024-06-03,Monday,0,23,6,June,2,2024,Summer,False,False,
2024-06-04,Tuesday,1,23,6,June,2,2024,Summer,False,False,
2024-06-05,Wednesday,2,23,6,June,2,2024,Summer,False,False,
2024-06-06,Thursday,3,23,6,June,2,2024,Summer,False,False,
2024-06-07,Friday,4,23,6,June,2,2024,Summer,False,False,
2024-06-08,Saturday,5,23,6,June,2,2024,Summer,True,False,
2024-06-09,Sunday,6,23,6,June,2,2024,Summer,True,False,
2024-06-10,Monday,0,24,6,June,2,2024,Summer,False,False,
2024-06-11,Tuesday,1,24,6,June,2,2024,Summer,False,False,
2024-06-12,Wednesday,2,24,6,June,2,2024,Summer,False,False,
2024-06-13,Thursday,3,24,6,June,2,2024,Summer,False,False,
2024-06-14,Friday,4,24,6,June,2,2024,Summer,False,False,
2024-06-15,Saturday,5,24,6,June,2,2024,Summer,True,False,
2024-06-16,Sunday,6,24,6,June,2,2024,Summer,True,False,
2024-06-17,Monday,0,25,6,June,2,2024,Summer,False,False,
2024-06-18,Tuesday,1,25,6,June,2,2024,Summer,False,False,
2024-06-19,Wednesday,2,25,6,June,2,2024,Summer,False,False,
2024-06-20,Thursday,3,25,6,June,2,2024,Summer,False,False,
2024-06-21,Friday,4,25,6,June,2,2024,Summer,False,False,
2024-06-22,Saturday,5,25,6,June,2,2024,Summer,True,False,
2024-06-23,Sunday,6,25,6,June,2,2024,Summer,True,False,
2024-06-24,Monday,0,26,6,June,2,2024,Summer,False,False,
2024-06-25,Tuesday,1,26,6,June,2,2024,Summer,False,False,
2024-06-26,Wednesday,2,26,6,June,2,2024,Summer,False,False,
2024-06-27,Thursday,3,26,6,June,2,2024,Summer,False,False,
2024-06-28,Friday,4,26,6,June,2,2024,Summer,False,False,
2024-06-29,Saturday,5,26,6,June,2,2024,Summer,True,False,
2024-06-30,Sunday,6,26,6,June,2,2024,Summer,True,False,
2024-07-01,Monday,0,27,7,July,3,2024,Summer,False,False,
2024-07-02,Tuesday,1,27,7,July,3,2024,Summer,False,False,
2024-07-03,Wednesday,2,27,7,July,3,2024,Summer,False,False,
2024-07-04,Thursday,3,27,7,July,3,2024,Summer,False,False,
2024-07-05,Friday,4,27,7,July,3,2024,Summer,False,False,
2024-07-06,Saturday,5,27,7,July,3,2024,Summer,True,False,
2024-07-07,Sunday,6,27,7,July,3,2024,Summer,True,False,
2024-07-08,Monday,0,28,7,July,3,2024,Summer,False,False,
2024-07-09,Tuesday,1,28,7,July,3,2024,Summer,False,False,
2024-07-10,Wednesday,2,28,7,July,3,2024,Summer,False,False,
2024-07-11,Thursday,3,28,7,July,3,2024,Summer,False,False,
2024-07-12,Friday,4,28,7,July,3,2024,Summer,False,False,
2024-07-13,Saturday,5,28,7,July,3,2024,Summer,True,False,
2024-07-14,Sunday,6,28,7,July,3,2024,Summer,True,False,
2024-07-15,Monday,0,29,7,July,3,2024,Summer,False,False,
2024-07-16,Tuesday,1,29,7,July,3,2024,Summer,False,False,
2024-07-17,Wednesday,2,29,7,July,3,2024,Summer,False,False,
2024-07-18,Thursday,3,29,7,July,3,2024,Summer,False,False,
2024-07-19,Friday,4,29,7,July,3,2024,Summer,False,False,
2024-07-20,Saturday,5,29,7,July,3,2024,Summer,True,False,
2024-07-21,Sunday,6,29,7,July,3,2024,Summer,True,False,
2024-07-22,Monday,0,30,7,July,3,2024,Summer,False,False,
2024-07-23,Tuesday,1,30,7,July,3,2024,Summer,False,False,
2024-07-24,Wednesday,2,30,7,July,3,2024,Summer,False,False,
2024-07-25,Thursday,3,30,7,July,3,2024,Summer,False,False,
2024-07-26,Friday,4,30,7,July,3,2024,Summer,False,False,
2024-07-27,Saturday,5,30,7,July,3,2024,Summer,True,False,
2024-07-28,Sunday,6,30,7,July,3,2024,Summer,True,False,
2024-07-29,Monday,0,31,7,July,3,2024,Summer,False,False,
2024-07-30,Tuesday,1,31,7,July,3,2024,Summer,False,False,
2024-07-31,Wednesday,2,31,7,July,3,2024,Summer,False,False,
2024-08-01,Thursday,3,31,8,August,3,2024,Summer,False,False,
2024-08-02,Friday,4,31,8,August,3,2024,Summer,False,False,
2024-08-03,Saturday,5,31,8,August,3,2024,Summer,True,False,
2024-08-04,Sunday,6,31,8,August,3,2024,Summer,True,False,
2024-08-05,Monday,0,32,8,August,3,2024,Summer,False,False,
2024-08-06,Tuesday,1,32,8,August,3,2024,Summer,False,False,
2024-08-07,Wednesday,2,32,8,August,3,2024,Summer,False,False,
2024-08-08,Thursday,3,32,8,August,3,2024,Summer,False,False,
2024-08-09,Friday,4,32,8,August,3,2024,Summer,False,False,
2024-08-10,Saturday,5,32,8,August,3,2024,Summer,True,False,
2024-08-11,Sunday,6,32,8,August,3,2024,Summer,True,False,
2024-08-12,Monday,0,33,8,August,3,2024,Summer,False,False,
2024-08-13,Tuesday,1,33,8,August,3,2024,Summer,False,False,
2024-08-14,Wednesday,2,33,8,August,3,2024,Summer,False,False,
2024-08-15,Thursday,3,33,8,August,3,2024,Summer,False,False,
2024-08-16,Friday,4,33,8,August,3,2024,Summer,False,False,
2024-08-17,Saturday,5,33,8,August,3,2024,Summer,True,False,
2024-08-18,Sunday,6,33,8,August,3,2024,Summer,True,False,
2024-08-19,Monday,0,34,8,August,3,2024,Summer,False,False,
2024-08-20,Tuesday,1,34,8,August,3,2024,Summer,False,False,
2024-08-21,Wednesday,2,34,8,August,3,2024,Summer,False,False,
2024-08-22,Thursday,3,34,8,August,3,2024,Summer,False,False,
2024-08-23,Friday,4,34,8,August,3,2024,Summer,False,False,
2024-08-24,Saturday,5,34,8,August,3,2024,Summer,True,False,
2024-08-25,Sunday,6,34,8,August,3,2024,Summer,True,False,
2024-08-26,Monday,0,35,8,August,3,2024,Summer,False,True,Summer Bank Holiday
2024-08-27,Tuesday,1,35,8,August,3,2024,Summer,False,False,
2024-08-28,Wednesday,2,35,8,August,3,2024,Summer,False,False,
2024-08-29,Thursday,3,35,8,August,3,2024,Summer,False,False,
2024-08-30,Friday,4,35,8,August,3,2024,Summer,False,False,
2024-08-31,Saturday,5,35,8,August,3,2024,Summer,True,False,
2024-09-01,Sunday,6,35,9,September,3,2024,Autumn,True,False,
2024-09-02,Monday,0,36,9,September,3,2024,Autumn,False,False,
2024-09-03,Tuesday,1,36,9,September,3,2024,Autumn,False,False,
2024-09-04,Wednesday,2,36,9,September,3,2024,Autumn,False,False,
2024-09-05,Thursday,3,36,9,September,3,2024,Autumn,False,False,
2024-09-06,Friday,4,36,9,September,3,2024,Autumn,False,False,
2024-09-07,Saturday,5,36,9,September,3,2024,Autumn,True,False,
2024-09-08,Sunday,6,36,9,September,3,2024,Autumn,True,False,
2024-09-09,Monday,0,37,9,September,3,2024,Autumn,False,False,
2024-09-10,Tuesday,1,37,9,September,3,2024,Autumn,False,False,
2024-09-11,Wednesday,2,37,9,September,3,2024,Autumn,False,False,
2024-09-12,Thursday,3,37,9,September,3,2024,Autumn,False,False,
2024-09-13,Friday,4,37,9,September,3,2024,Autumn,False,False,
2024-09-14,Saturday,5,37,9,September,3,2024,Autumn,True,False,
2024-09-15,Sunday,6,37,9,September,3,2024,Autumn,True,False,
2024-09-16,Monday,0,38,9,September,3,2024,Autumn,False,False,
2024-09-17,Tuesday,1,38,9,September,3,2024,Autumn,False,False,
2024-09-18,Wednesday,2,38,9,September,3,2024,Autumn,False,False,
2024-09-19,Thursday,3,38,9,September,3,2024,Autumn,False,False,
2024-09-20,Friday,4,38,9,September,3,2024,Autumn,False,False,
2024-09-21,Saturday,5,38,9,September,3,2024,Autumn,True,False,
2024-09-22,Sunday,6,38,9,September,3,2024,Autumn,True,False,
2024-09-23,Monday,0,39,9,September,3,2024,Autumn,False,False,
2024-09-24,Tuesday,1,39,9,September,3,2024,Autumn,False,False,
2024-09-25,Wednesday,2,39,9,September,3,2024,Autumn,False,False,
2024-09-26,Thursday,3,39,9,September,3,2024,Autumn,False,False,
2024-09-27,Friday,4,39,9,September,3,2024,Autumn,False,False,
2024-09-28,Saturday,5,39,9,September,3,2024,Autumn,True,False,
2024-09-29,Sunday,6,39,9,September,3,2024,Autumn,True,False,
2024-09-30,Monday,0,40,9,September,3,2024,Autumn,False,False,
2024-10-01,Tuesday,1,40,10,October,4,2024,Autumn,False,False,
2024-10-02,Wednesday,2,40,10,October,4,2024,Autumn,False,False,
2024-10-03,Thursday,3,40,10,October,4,2024,Autumn,False,False,
2024-10-04,Friday,4,40,10,October,4,2024,Autumn,False,False,
2024-10-05,Saturday,5,40,10,October,4,2024,Autumn,True,False,
2024-10-06,Sunday,6,40,10,October,4,2024,Autumn,True,False,
2024-10-07,Monday,0,41,10,October,4,2024,Autumn,False,False,
2024-10-08,Tuesday,1,41,10,October,4,2024,Autumn,False,False,
2024-10-09,Wednesday,2,41,10,October,4,2024,Autumn,False,False,
2024-10-10,Thursday,3,41,10,October,4,2024,Autumn,False,False,
2024-10-11,Friday,4,41,10,October,4,2024,Autumn,False,False,
2024-10-12,Saturday,5,41,10,October,4,2024,Autumn,True,False,
2024-10-13,Sunday,6,41,10,October,4,2024,Autumn,True,False,
2024-10-14,Monday,0,42,10,October,4,2024,Autumn,False,False,
2024-10-15,Tuesday,1,42,10,October,4,2024,Autumn,False,False,
2024-10-16,Wednesday,2,42,10,October,4,2024,Autumn,False,False,
2024-10-17,Thursday,3,42,10,October,4,2024,Autumn,False,False,
2024-10-18,Friday,4,42,10,October,4,2024,Autumn,False,False,
2024-10-19,Saturday,5,42,10,October,4,2024,Autumn,True,False,
2024-10-20,Sunday,6,42,10,October,4,2024,Autumn,True,False,
2024-10-21,Monday,0,43,10,October,4,2024,Autumn,False,False,
2024-10-22,Tuesday,1,43,10,October,4,2024,Autumn,False,False,
2024-10-23,Wednesday,2,43,10,October,4,2024,Autumn,False,False,
2024-10-24,Thursday,3,43,10,October,4,2024,Autumn,False,False,
2024-10-25,Friday,4,43,10,October,4,2024,Autumn,False,False,
2024-10-26,Saturday,5,43,10,October,4,2024,Autumn,True,False,
2024-10-27,Sunday,6,43,10,October,4,2024,Autumn,True,False,
2024-10-28,Monday,0,44,10,October,4,2024,Autumn,False,False,
2024-10-29,Tuesday,1,44,10,October,4,2024,Autumn,False,False,
2024-10-30,Wednesday,2,44,10,October,4,2024,Autumn,False,False,
2024-10-31,Thursday,3,44,10,October,4,2024,Autumn,False,False,
2024-11-01,Friday,4,44,11,November,4,2024,Autumn,False,False,
2024-11-02,Saturday,5,44,11,November,4,2024,Autumn,True,False,
2024-11-03,Sunday,6,44,11,November,4,2024,Autumn,True,False,
2024-11-04,Monday,0,45,11,November,4,2024,Autumn,False,False,
2024-11-05,Tuesday,1,45,11,November,4,2024,Autumn,False,False,
2024-11-06,Wednesday,2,45,11,November,4,2024,Autumn,False,False,
2024-11-07,Thursday,3,45,11,November,4,2024,Autumn,False,False,
2024-11-08,Friday,4,45,11,November,4,2024,Autumn,False,False,
2024-11-09,Saturday,5,45,11,November,4,2024,Autumn,True,False,
2024-11-10,Sunday,6,45,11,November,4,2024,Autumn,True,False,
2024-11-11,Monday,0,46,11,November,4,2024,Autumn,False,False,
2024-11-12,Tuesday,1,46,11,November,4,2024,Autumn,False,False,
2024-11-13,Wednesday,2,46,11,November,4,2024,Autumn,False,False,
2024-11-14,Thursday,3,46,11,November,4,2024,Autumn,False,False,
2024-11-15,Friday,4,46,11,November,4,2024,Autumn,False,False,
2024-11-16,Saturday,5,46,11,November,4,2024,Autumn,True,False,
2024-11-17,Sunday,6,46,11,November,4,2024,Autumn,True,False,
2024-11-18,Monday,0,47,11,November,4,2024,Autumn,False,False,
2024-11-19,Tuesday,1,47,11,November,4,2024,Autumn,False,False,
2024-11-20,Wednesday,2,47,11,November,4,2024,Autumn,False,False,
2024-11-21,Thursday,3,47,11,November,4,2024,Autumn,False,False,
2024-11-22,Friday,4,47,11,November,4,2024,Autumn,False,False,
2024-11-23,Saturday,5,47,11,November,4,2024,Autumn,True,False,
2024-11-24,Sunday,6,47,11,November,4,2024,Autumn,True,False,
2024-11-25,Monday,0,48,11,November,4,2024,Autumn,False,False,
2024-11-26,Tuesday,1,48,11,November,4,2024,Autumn,False,False,
2024-11-27,Wednesday,2,48,11,November,4,2024,Autumn,False,False,
2024-11-28,Thursday,3,48,11,November,4,2024,Autumn,False,False,
2024-11-29,Friday,4,48,11,November,4,2024,Autumn,False,False,
2024-11-30,Saturday,5,48,11,November,4,2024,Autumn,True,False,
2024-12-01,Sunday,6,48,12,December,4,2024,Winter,True,False,
2024-12-02,Monday,0,49,12,December,4,2024,Winter,False,False,
2024-12-03,Tuesday,1,49,12,December,4,2024,Winter,False,False,
2024-12-04,Wednesday,2,49,12,December,4,2024,Winter,False,False,
2024-12-05,Thursday,3,49,12,December,4,2024,Winter,False,False,
2024-12-06,Friday,4,49,12,December,4,2024,Winter,False,False,
2024-12-07,Saturday,5,49,12,December,4,2024,Winter,True,False,
2024-12-08,Sunday,6,49,12,December,4,2024,Winter,True,False,
2024-12-09,Monday,0,50,12,December,4,2024,Winter,False,False,
2024-12-10,Tuesday,1,50,12,December,4,2024,Winter,False,False,
2024-12-11,Wednesday,2,50,12,December,4,2024,Winter,False,False,
2024-12-12,Thursday,3,50,12,December,4,2024,Winter,False,False,
2024-12-13,Friday,4,50,12,December,4,2024,Winter,False,False,
2024-12-14,Saturday,5,50,12,December,4,2024,Winter,True,False,
2024-12-15,Sunday,6,50,12,December,4,2024,Winter,True,False,
2024-12-16,Monday,0,51,12,December,4,2024,Winter,False,False,
2024-12-17,Tuesday,1,51,12,December,4,2024,Winter,False,False,
2024-12-18,Wednesday,2,51,12,December,4,2024,Winter,False,False,
2024-12-19,Thursday,3,51,12,December,4,2024,Winter,False,False,
2024-12-20,Friday,4,51,12,December,4,2024,Winter,False,False,
2024-12-21,Saturday,5,51,12,December,4,2024,Winter,True,False,
2024-12-22,Sunday,6,51,12,December,4,2024,Winter,True,False,
2024-12-23,Monday,0,52,12,December,4,2024,Winter,False,False,
2024-12-24,Tuesday,1,52,12,December,4,2024,Winter,False,False,
2024-12-25,Wednesday,2,52,12,December,4,2024,Winter,False,True,Christmas Day
2024-12-26,Thursday,3,52,12,December,4,2024,Winter,False,True,Boxing Day
2024-12-27,Friday,4,52,12,December,4,2024,Winter,False,False,
2024-12-28,Saturday,5,52,12,December,4,2024,Winter,True,False,
2024-12-29,Sunday,6,52,12,December,4,2024,Winter,True,False,
2024-12-30,Monday,0,1,12,December,4,2024,Winter,False,False,
2024-12-31,Tuesday,1,1,12,December,4,2024,Winter,False,False,
2025-01-01,Wednesday,2,1,1,January,1,2025,Winter,False,True,New Year's Day
2025-01-02,Thursday,3,1,1,January,1,2025,Winter,False,False,
2025-01-03,Friday,4,1,1,January,1,2025,Winter,False,False,
2025-01-04,Saturday,5,1,1,January,1,2025,Winter,True,False,
2025-01-05,Sunday,6,1,1,January,1,2025,Winter,True,False,
2025-01-06,Monday,0,2,1,January,1,2025,Winter,False,False,
2025-01-07,Tuesday,1,2,1,January,1,2025,Winter,False,False,
2025-01-08,Wednesday,2,2,1,January,1,2025,Winter,False,False,
2025-01-09,Thursday,3,2,1,January,1,2025,Winter,False,False,
2025-01-10,Friday,4,2,1,January,1,2025,Winter,False,False,
2025-01-11,Saturday,5,2,1,January,1,2025,Winter,True,False,
2025-01-12,Sunday,6,2,1,January,1,2025,Winter,True,False,
2025-01-13,Monday,0,3,1,January,1,2025,Winter,False,False,
2025-01-14,Tuesday,1,3,1,January,1,2025,Winter,False,False,
2025-01-15,Wednesday,2,3,1,January,1,2025,Winter,False,False,
2025-01-16,Thursday,3,3,1,January,1,2025,Winter,False,False,
2025-01-17,Friday,4,3,1,January,1,2025,Winter,False,False,
2025-01-18,Saturday,5,3,1,January,1,2025,Winter,True,False,
2025-01-19,Sunday,6,3,1,January,1,2025,Winter,True,False,
2025-01-20,Monday,0,4,1,January,1,2025,Winter,False,False,
2025-01-21,Tuesday,1,4,1,January,1,2025,Winter,False,False,
2025-01-22,Wednesday,2,4,1,January,1,2025,Winter,False,False,
2025-01-23,Thursday,3,4,1,January,1,2025,Winter,False,False,
2025-01-24,Friday,4,4,1,January,1,2025,Winter,False,False,
2025-01-25,Saturday,5,4,1,January,1,2025,Winter,True,False,
2025-01-26,Sunday,6,4,1,January,1,2025,Winter,True,False,
2025-01-27,Monday,0,5,1,January,1,2025,Winter,False,False,
2025-01-28,Tuesday,1,5,1,January,1,2025,Winter,False,False,
2025-01-29,Wednesday,2,5,1,January,1,2025,Winter,False,False,
2025-01-30,Thursday,3,5,1,January,1,2025,Winter,False,False,
2025-01-31,Friday,4,5,1,January,1,2025,Winter,False,False,
2025-02-01,Saturday,5,5,2,February,1,2025,Winter,True,False,
2025-02-02,Sunday,6,5,2,February,1,2025,Winter,True,False,
2025-02-03,Monday,0,6,2,February,1,2025,Winter,False,False,
2025-02-04,Tuesday,1,6,2,February,1,2025,Winter,False,False,
2025-02-05,Wednesday,2,6,2,February,1,2025,Winter,False,False,
2025-02-06,Thursday,3,6,2,February,1,2025,Winter,False,False,
2025-02-07,Friday,4,6,2,February,1,2025,Winter,False,False,
